Add_no,Name,Section,Gender,D.O.B,Fathers_name,Mothers_name,Blood_group,aadhar_number,email_id,phone_no,physically_chalanged,Lang_known,Total_marks,no-of_parents_graduated
O1,Liam,A,M,1.11.2000,Sam,Aana,A+,6023 4561 3020,Liam@gmail.com,9842994603,yes,3,500,2
O2,Joah,B,M,1.11.2001,Joe,Bana,B+,6024 4561 3020,John@gmail.com,9842994602,No,2,499,2
O3,Will,A,W,1.11.2002,Ram,Cana,AB+,6025 4561 3020,William@gmail.com,9842994601,yes,1,498,2
O4,Marg,C,W,1.11.2003,Kalai,Dana,O+,6026 4561 3020,Margaret@gmail.com,9842994604,No,3,497,1
O5,Eliz,C,W,1.11.2004,Ravi,Eana,A-,6027 4561 3020,Elizabeth@gmail.com,9842994605,yes,2,496,1
O6,Mary,B,W,1.11.2005,Joel,Fana,B-,6028 4561 3020,Mary@gmail.com,9842994606,No,1,495,2
O7,Daev,A,M,1.11.2006,Joe,Gana,AB-,6029 4561 3020,David@gmail.com,9842994612,yes,3,494,2
O8,Thom,D,M,1.11.2007,Saba,Hana,O-,6030 4561 3020,Thomas@gmail.com,9842994613,No,2,493,2
O9,Alex,D,M,1.11.2008,Raj,Iana,A+,6031 4561 3020,Alexander@gmail.com,9842994614,yes,1,492,1
10,Cath,B,W,1.11.2009,Dev,Jana,B+,6032 4561 3020,Catherine@gmail.com,9842994615,No,3,491,1
11,Gorg,E,M,1.11.2010,Deva,Kana,AB+,6033 4561 3020,Gorge@gmail.com,9842994616,yes,2,490,2
12,Anne,A,W,1.11.2011,Shankar,Lana,O+,6034 4561 3020,Anne@gmail.com,9842994617,No,1,489,2
13,Iann,B,W,1.11.2012,Raman,Mana,A-,6035 4561 3020,Ian@gmail.com,9842994618,yes,3,488,2
14,Lind,D,W,1.11.2013,Samm,Nana,B-,6036 4561 3020,Linda@gmail.com,9842994619,No,2,487,1
15,Hele,E,W,1.11.2014,Brito,Oana,AB-,6037 4561 3020,Helen@gmail.com,9842994620,yes,1,486,1
16,Bian,D,M,1.11.2015,Kalaian,Pana,O-,6038 4561 3020,Brain@gmail.com,9842994621,No,3,485,2
17,Pete,B,W,1.11.2016,kathir,Qana,A+,6039 4561 3020,Patricia@gmail.com,9842994622,yes,2,484,2
18,Aned,C,M,1.11.2017,Sam,Rana,B+,6040 4561 3020,Andrew@gmail.com,9842994623,No,1,483,2
19,Iren,D,W,1.11.2018,Joe,Sana,AB+,6041 4561 3020,Irene@gmail.com,9842994624,yes,3,482,1
20,Mich,A,M,1.11.2019,Ram,Tana,O+,6042 4561 3020,Michel@gmail.com,9842994625,No,2,481,1
21,Alan,B,M,1.11.2020,Kalai,Uana,A-,6043 4561 3020,Alan@gmail.com,9842994626,yes,1,480,2
22,Peter,C,M,1.11.2021,Ravi,Vana,B-,6044 4561 3020,Peter@gmail.com,9842994627,No,3,479,2
23,Char,D,M,1.11.2022,Joel,Wana,AB-,6045 4561 3020,Charles@gmail.com,9842994628,yes,2,478,2
24,Agne,E,M,1.11.2023,Joe,Xana,O-,6046 4561 3020,Agnes@gmail.com,9842994629,No,1,477,1
25,Jean,A,M,1.11.2024,Saba,Yana,A+,6047 4561 3020,Jean@gmail.com,9842994630,yes,3,476,1
26,Anne,D,W,1.11.2025,Raj,Zana,B+,6048 4561 3020,Anne@gmail.com,9842994631,No,2,475,2
27,Janet,C,W,1.11.2026,Dev,Aana,AB+,6049 4561 3020,Janet@gmail.com,9842994632,yes,1,474,2
28,Roan,B,M,1.11.2027,Deva,Bana,O+,6050 4561 3020,Ronald@gmail.com,9842994633,No,3,473,2
